发烧	发烧/高烧/低烧/高热/低热/退烧/发热
咳嗽	咳/咳嗽/干咳/干咳/呛咳/呛咳嗽/闷咳/干咳
咽部不适	喉咙发炎/扁桃体肿大/咽痛/嗓子疼/嗓子哑/嗓子痒/咽喉红肿/声音沙哑/咽喉痛/红肿/扁桃体炎/喉咙红肿/喉咙痛/沙哑/嗓子发炎/喉咙红/哑/咽喉肿痛/嗓子红/嗓子很红
厌食	厌食/拒食/不吃饭/吃不下/不想吃饭/食欲差/没食欲/食欲不振/食欲不好/不肯吃/胃口不好/没有食欲/不愿意吃/不愿意吃饭/不喜欢吃奶/没有胃口/吃的少/不愿喝奶/胃口一般/胃口差
吐泡泡	吐泡泡/呛水/吐泡
呕吐	呕吐/吐/干呕/吐奶/呛奶/干呕/溢奶/恶心/难受
流涕	流鼻涕/流涕/流清涕/鼻涕/流鼻水/流清鼻涕/流一点涕/清水鼻涕/清涕/鼻水/黄涕/清鼻涕
打喷嚏	打喷嚏/喷嚏
呼吸困难	呼吸困难/气喘/呼吸声大/呼吸重/呼噜/呼噜声/气促/呼吸急促/呼吸有困难/憋气/气喘/憋醒/打鼾/打呼噜/呼吸不畅/呼吸喘/喘息/呼吸加重
精神萎靡	嗜睡/昏睡/精神差/精神萎靡/精神状态差/精神不佳/蔫/没力气/精神状态不好/想睡觉/精神不好/没精神
流口水	流口水/口水/流涎
流鼻血	流鼻血/鼻出血/鼻血/鼻衄
鼻塞	鼻塞/鼻子不通气/嘴部呼吸/鼻音重/张口呼吸/憋醒/鼻子堵/鼻子异物感/鼻屎/鼻甲肥大/张嘴睡
咳痰	咳痰/吐痰/脓痰/有痰/嗓子有痰/痰鸣音/痰/痰音
喘气	呼吸粗/呼吸音粗/喘/喘气/呼吸声粗/呼吸喘音
头痛	头晕/头疼/头痛
揉眼睛	眼睛红/流泪/眼肿/黄色眼屎分泌/眼眶发红/流眼泪/揉眼睛/眼睛痒/黄色眼屎/畏光/怕光/揉眼/眼睛发痒/眼屎
打嗝	打嗝/拍奶嗝/嗳气
放屁	放屁/排气多/屁多/放屁带便/放屁带屎
肚子咕噜叫	肚子咕噜声/肚子咕噜/肠鸣音/有水音/肚子咕咕叫/肚子叫
反胃	反胃/食物上涌/干呕/想吐
烦躁不安	烦躁不安/睡不好/闹觉/哭闹/烦躁/不易入睡/爱挣扎/难以入睡/失眠/闹脾气/手脚乱蹬/闹人/睡觉不踏实/闹/哭/哭醒/睡眠不好/睡得不好/大哭/睡不安稳/入睡困难/无法入睡/啼哭/吵闹
盗汗	盗汗/出很多汗/头冒虚汗/汗多/出汗
腹胀	腹胀/胀气/肚子很鼓/肚子胀/胃胀/肚子涨
尿少	小便量少/尿量少/尿少/无尿/尿量减少/尿液变黄
体重减轻	体重减轻/体重变轻/消瘦/营养不良/发育落后/体重增长缓慢/体重未增长/体重不长
腹痛	腹痛/肚子疼/大便痛苦/肚子不舒服/肚子痛
口渴	口渴/喝水多/喝水
揉鼻子	揉鼻子/鼻子痒/揉鼻/搓鼻子/抠鼻子/戳鼻子/抠鼻/搓鼻/鼻痒
抽搐	抽动/挤眉弄眼/搓眼睛/咀嚼/揉眼睛/乱咬/抖动/抽搐/发抖
皮疹	红点/红疹/湿疹/荨麻疹/屁股红/挠破/皮肤痒/干性湿疹/挠破/皮疹/疹子/疙瘩/起痘痘/痒/皮炎/点点/小包/肛周发红溃烂/皮肤瘙痒/水痘/小疹/手足皮疹/痘痘/小包/小点/发痒
过敏	过敏
淋巴结肿大	淋巴结肿大/水肿
疱疹	疱疹/嘴巴溃疡/溃疡/溃烂/水泡/起泡/白色小泡/血泡/泡/有泡/小泡/白泡/泡泡/长泡/白点
稀便	稀便/腹泻/拉稀便/拉肚子/拉血丝便/排便泡沫状/大便水样/水便/水样便/漏大便水/黄色稀便/带粘液便/拉血丝便/粘液/泄/拉血丝/便稀/拉水状物/大便次数增多/大便次数多/拉稀
绿便	绿便/绿色/大便呈绿黄色/拉绿便
蛋花样便	蛋花样便/排泄物带奶瓣/蛋花样/奶瓣/大便奶瓣很多/蛋花状便
大便酸臭	大便酸臭/臭/酸臭/大便酸臭味/大便酸/臭味
舌苔发白	舌苔发白/舌苔很白
肺部阴影	肺部阴影/肺部感染/炎症
肺部湿啰音	肺部湿啰音/啰音/鸣音
